Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)
  CPLEX 12.8.0.0       Linear Programming Solver developed by IBM (www.cplex.com)
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)
  bliss 0.73p          Computing Graph Automorphism Groups by T. Junttila and P. Kaski (http://www.tcs.hut.fi/Software/bliss/)

user parameter file <scip.set> not found - using default parameters

SCIP> 
SCIP> set misc referencevalue 1763966.71
misc/referencevalue = 1763966.71
SCIP> set limits time 3600
limits/time = 3600
SCIP> set limits nodes 2100000000
limits/nodes = 2100000000
SCIP> set limits memory 12345
limits/memory = 12345
SCIP> set lp advanced threads 1
lp/threads = 1
SCIP> set timing clocktype 1
timing/clocktype = 1
SCIP> set display freq 10000
display/freq = 10000
SCIP> set memory savefac 1.0
memory/savefac = 1

============

original problem has 9954 variables (54 bin, 0 int, 0 impl, 9900 cont) and 1876 constraints
SCIP> display parameters

number of parameters = 2603
non-default parameter settings:
display/freq = 10000
limits/time = 3600
limits/nodes = 2100000000
limits/memory = 12345
lp/threads = 1
memory/savefac = 1
misc/referencevalue = 1763966.71
timing/clocktype = 1
estimation/reportfreq = 100
estimation/treeprofile/enabled = TRUE


presolving:
(round 1, fast)       13 del vars, 0 del conss, 0 add conss, 14184 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.6s) probing cycle finished: starting next cycle
   (0.6s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.7s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 13 deleted vars, 0 deleted constraints, 0 added constraints, 14184 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 9941 variables (41 bin, 0 int, 0 impl, 9900 cont) and 1876 constraints
   1876 constraints of type <linear>
Presolving Time: 0.26

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.7s|     1 |     0 |   941 |     - |   locks|   0 |9941 |1876 |1876 |   0 |  0 |   0 |   0 |-9.600000e+04 | 1.776766e+06 |    Inf | unknown
  0.8s|     1 |     0 |  2355 |     - |    93M |   0 |9941 |1876 |1876 |   0 |  0 |   0 |   0 | 1.467064e+06 | 1.776766e+06 |  21.11%| unknown
  0.9s|     1 |     0 |  2758 |     - |    96M |   0 |9941 |1876 |1917 |  41 |  1 |   0 |   0 | 1.574523e+06 | 1.776766e+06 |  12.84%| unknown
  1.0s|     1 |     0 |  2908 |     - |    97M |   0 |9941 |1876 |1939 |  63 |  2 |   0 |   0 | 1.589714e+06 | 1.776766e+06 |  11.77%| unknown
  1.1s|     1 |     0 |  3032 |     - |    97M |   0 |9941 |1876 |1962 |  86 |  3 |   0 |   0 | 1.606136e+06 | 1.776766e+06 |  10.62%| unknown
  1.2s|     1 |     0 |  3165 |     - |    99M |   0 |9941 |1876 |1980 | 104 |  4 |   0 |   0 | 1.619045e+06 | 1.776766e+06 |   9.74%| unknown
  1.4s|     1 |     0 |  3271 |     - |   100M |   0 |9941 |1876 |1996 | 120 |  5 |   0 |   0 | 1.630242e+06 | 1.776766e+06 |   8.99%| unknown
  1.5s|     1 |     0 |  3364 |     - |   102M |   0 |9941 |1876 |2012 | 136 |  6 |   0 |   0 | 1.642774e+06 | 1.776766e+06 |   8.16%| unknown
  1.7s|     1 |     0 |  3477 |     - |   103M |   0 |9941 |1876 |2027 | 151 |  7 |   0 |   0 | 1.652836e+06 | 1.776766e+06 |   7.50%| unknown
  1.8s|     1 |     0 |  3573 |     - |   105M |   0 |9941 |1876 |2041 | 165 |  8 |   0 |   0 | 1.660576e+06 | 1.776766e+06 |   7.00%| unknown
  2.0s|     1 |     0 |  3647 |     - |   106M |   0 |9941 |1876 |2054 | 178 |  9 |   0 |   0 | 1.667907e+06 | 1.776766e+06 |   6.53%| unknown
  2.2s|     1 |     0 |  3748 |     - |   107M |   0 |9941 |1876 |2066 | 190 | 10 |   0 |   0 | 1.674284e+06 | 1.776766e+06 |   6.12%| unknown
  2.5s|     1 |     0 |  3862 |     - |   107M |   0 |9941 |1876 |2079 | 203 | 11 |   0 |   0 | 1.681309e+06 | 1.776766e+06 |   5.68%| unknown
  2.7s|     1 |     0 |  3988 |     - |   107M |   0 |9941 |1876 |2091 | 215 | 12 |   0 |   0 | 1.689087e+06 | 1.776766e+06 |   5.19%| unknown
  2.9s|     1 |     0 |  4043 |     - |   108M |   0 |9941 |1876 |2098 | 222 | 13 |   0 |   0 | 1.690786e+06 | 1.776766e+06 |   5.09%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.2s|     1 |     0 |  4084 |     - |   110M |   0 |9941 |1876 |2105 | 229 | 14 |   0 |   0 | 1.692056e+06 | 1.776766e+06 |   5.01%| unknown
  3.4s|     1 |     0 |  4118 |     - |   110M |   0 |9941 |1876 |2111 | 235 | 15 |   0 |   0 | 1.693134e+06 | 1.776766e+06 |   4.94%| unknown
  3.8s|     1 |     0 |  4168 |     - |   112M |   0 |9941 |1876 |2116 | 241 | 16 |   0 |   0 | 1.694261e+06 | 1.776766e+06 |   4.87%| unknown
  4.1s|     1 |     0 |  4216 |     - |   114M |   0 |9941 |1876 |2122 | 247 | 17 |   0 |   0 | 1.695446e+06 | 1.776766e+06 |   4.80%| unknown
  4.3s|     1 |     0 |  4229 |     - |   115M |   0 |9941 |1876 |2125 | 250 | 18 |   0 |   0 | 1.695776e+06 | 1.776766e+06 |   4.78%| unknown
  4.7s|     1 |     0 |  4421 |     - |   116M |   0 |9941 |1876 |2147 | 272 | 19 |   0 |   0 | 1.707137e+06 | 1.776766e+06 |   4.08%| unknown
  5.0s|     1 |     0 |  4534 |     - |   116M |   0 |9941 |1876 |2167 | 292 | 20 |   0 |   0 | 1.708854e+06 | 1.776766e+06 |   3.97%| unknown
  5.4s|     1 |     0 |  4601 |     - |   117M |   0 |9941 |1876 |2182 | 307 | 21 |   0 |   0 | 1.709804e+06 | 1.776766e+06 |   3.92%| unknown
  5.7s|     1 |     0 |  4657 |     - |   118M |   0 |9941 |1876 |2193 | 318 | 22 |   0 |   0 | 1.710457e+06 | 1.776766e+06 |   3.88%| unknown
  6.1s|     1 |     0 |  4718 |     - |   118M |   0 |9941 |1876 |2204 | 329 | 23 |   0 |   0 | 1.712527e+06 | 1.776766e+06 |   3.75%| unknown
  6.6s|     1 |     0 |  4762 |     - |   118M |   0 |9941 |1876 |2215 | 340 | 24 |   0 |   0 | 1.713279e+06 | 1.776766e+06 |   3.71%| unknown
  7.0s|     1 |     0 |  4817 |     - |   118M |   0 |9941 |1876 |2227 | 352 | 25 |   0 |   0 | 1.714854e+06 | 1.776766e+06 |   3.61%| unknown
  7.4s|     1 |     0 |  4867 |     - |   120M |   0 |9941 |1876 |2236 | 361 | 26 |   0 |   0 | 1.715813e+06 | 1.776766e+06 |   3.55%| unknown
  7.9s|     1 |     0 |  4918 |     - |   121M |   0 |9941 |1876 |2244 | 369 | 27 |   0 |   0 | 1.717106e+06 | 1.776766e+06 |   3.47%| unknown
  8.4s|     1 |     0 |  4958 |     - |   121M |   0 |9941 |1876 |2247 | 373 | 28 |   0 |   0 | 1.717835e+06 | 1.776766e+06 |   3.43%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.9s|     1 |     0 |  5037 |     - |   121M |   0 |9941 |1876 |2253 | 379 | 29 |   0 |   0 | 1.719392e+06 | 1.776766e+06 |   3.34%| unknown
  9.4s|     1 |     0 |  5112 |     - |   123M |   0 |9941 |1876 |2262 | 388 | 30 |   0 |   0 | 1.721018e+06 | 1.776766e+06 |   3.24%| unknown
  9.9s|     1 |     0 |  5160 |     - |   123M |   0 |9941 |1876 |2270 | 396 | 31 |   0 |   0 | 1.721350e+06 | 1.776766e+06 |   3.22%| unknown
 10.4s|     1 |     0 |  5266 |     - |   123M |   0 |9941 |1876 |2291 | 417 | 32 |   0 |   0 | 1.722709e+06 | 1.776766e+06 |   3.14%| unknown
 10.8s|     1 |     0 |  5344 |     - |   123M |   0 |9941 |1876 |2306 | 432 | 33 |   0 |   0 | 1.723954e+06 | 1.776766e+06 |   3.06%| unknown
