10.00 10.00 0 0
0   5.63   6.25   5.63   6.25  0  0  -  n  0  0  0  17
1   4.82   5.35   4.82   5.35  0  0  -  n  0  0  0  20
2   3.06   3.40   3.06   3.40  0  0  -  n  0  0  0  56
3   2.71   3.01   2.71   3.01  0  0  -  n  0  0  0  85
4   2.38   2.64   2.38   2.64  0  0  -  n  0  0  0  87
5   2.87   3.19   2.87   3.19  0  0  -  n  0  0  0  63
6   3.97   4.41   3.97   4.41  0  0  -  n  0  0  0  35
7   3.81   4.23   3.81   4.23  0  0  -  n  0  0  0  34
8   4.21   4.67   4.21   4.67  0  0  -  n  0  0  0  28
9   1.75   1.94   1.75   1.94  0  0  -  n  0  0  0  130
0
