10.00 10.00 0 0
0   6.92   7.69   6.92   7.69  0  0  -  n  0  0  0  21
1   5.87   6.53   5.87   6.53  0  0  -  n  0  0  0  25
2   4.53   5.04   4.53   5.04  0  0  -  n  0  0  0  51
3   4.95   5.50   4.95   5.50  0  0  -  n  0  0  0  32
4   1.57   1.74   1.57   1.74  0  0  -  n  0  0  0  331
5   3.53   3.92   3.53   3.92  0  0  -  n  0  0  0  87
6   5.43   6.04   5.43   6.04  0  0  -  n  0  0  0  38
7   1.93   2.14   1.93   2.14  0  0  -  n  0  0  0  327
8   3.53   3.93   3.53   3.93  0  0  -  n  0  0  0  96
9   1.33   1.47   1.33   1.47  0  0  -  n  0  0  0  574
0
