10.00 10.00 0 0
0   5.14   5.71   5.14   5.71  0  0  -  n  0  0  0  20
1   2.06   2.29   2.06   2.29  0  0  -  n  0  0  0  127
2   2.14   2.38   2.14   2.38  0  0  -  n  0  0  0  131
3   1.90   2.11   1.90   2.11  0  0  -  n  0  0  0  135
4   3.09   3.44   3.09   3.44  0  0  -  n  0  0  0  50
5   4.41   4.90   4.41   4.90  0  0  -  n  0  0  0  24
6   1.35   1.51   1.35   1.51  0  0  -  n  0  0  0  232
7   3.59   3.99   3.59   3.99  0  0  -  n  0  0  0  42
8   1.25   1.39   1.25   1.39  0  0  -  n  0  0  0  411
9   0.98   1.09   0.98   1.09  0  0  -  n  0  0  0  437
0
