10.00 10.00 0 0
0   4.74   5.26   4.74   5.26  0  0  -  n  0  0  0  36
1   2.99   3.33   2.99   3.33  0  0  -  n  0  0  0  121
2   3.06   3.40   3.06   3.40  0  0  -  n  0  0  0  119
3   4.26   4.73   4.26   4.73  0  0  -  n  0  0  0  52
4   3.98   4.43   3.98   4.43  0  0  -  n  0  0  0  56
5   2.26   2.51   2.26   2.51  0  0  -  n  0  0  0  200
6   2.96   3.29   2.96   3.29  0  0  -  n  0  0  0  131
7   1.14   1.26   1.14   1.26  0  0  -  n  0  0  0  890
8   4.02   4.47   4.02   4.47  0  0  -  n  0  0  0  48
9   1.04   1.16   1.04   1.16  0  0  -  n  0  0  0  963
0
