10.00 10.00 0 0
0   6.21   6.90   6.21   6.90  0  0  -  n  0  0  0  11
1   4.96   5.51   4.96   5.51  0  0  -  n  0  0  0  26
2   3.17   3.52   3.17   3.52  0  0  -  n  0  0  0  51
3   3.90   4.33   3.90   4.33  0  0  -  n  0  0  0  41
4   4.72   5.25   4.72   5.25  0  0  -  n  0  0  0  18
5   2.23   2.48   2.23   2.48  0  0  -  n  0  0  0  122
6   4.13   4.59   4.13   4.59  0  0  -  n  0  0  0  36
7   3.25   3.61   3.25   3.61  0  0  -  n  0  0  0  42
8   1.21   1.34   1.21   1.34  0  0  -  n  0  0  0  438
9   1.19   1.32   1.19   1.32  0  0  -  n  0  0  0  410
0
